Time,RPM,Setpoint
64,0.00,1800.00
1048,0.00,1800.00
2260,0.00,1800.00
3404,0.00,1800.00
4540,0.00,1800.00
5724,300.00,1800.00
6988,0.00,1800.00
8172,300.00,1800.00
9480,600.00,1800.00
10784,300.00,1800.00
12132,600.00,1800.00
13508,600.00,1800.00
15128,900.00,1800.00
16996,600.00,1800.00
18868,900.00,1800.00
20736,900.00,1800.00
22620,900.00,1800.00
24476,1200.00,1800.00
26432,1200.00,1800.00
28384,1200.00,1800.00
30348,1200.00,1800.00
32296,1500.00,1800.00
34252,1200.00,1800.00
36204,1500.00,1800.00
38160,1500.00,1800.00
40116,1800.00,1800.00
42072,1800.00,1800.00
44024,1500.00,1800.00
45980,1800.00,1800.00
47936,1800.00,1800.00
49892,1800.00,1800.00
51844,1800.00,1800.00
53884,1800.00,1800.00
55756,1800.00,1800.00
57712,1800.00,1800.00
59668,1800.00,1800.00
61620,2100.00,1800.00
63576,1800.00,1800.00
65532,2100.00,1800.00
67488,2100.00,1800.00
69440,2100.00,1800.00
71396,2100.00,1800.00
73352,2100.00,1800.00
75304,2100.00,1800.00
77260,2100.00,1800.00
79224,2100.00,1800.00
81172,2400.00,1800.00
83124,2100.00,1800.00
85120,2400.00,1800.00
87036,2400.00,1800.00
88992,2100.00,1800.00
90948,2100.00,1800.00
92900,2400.00,1800.00
94856,2400.00,1800.00
96812,2400.00,1800.00
98764,2400.00,1800.00
100720,2100.00,1800.00
102792,2400.00,1800.00
104828,2100.00,1800.00
106868,2400.00,1800.00
108908,2400.00,1800.00
110948,2100.00,1800.00
112988,2100.00,1800.00
115028,2100.00,1800.00
117068,2100.00,1800.00
119108,2100.00,1800.00
121148,2100.00,1800.00
123188,2100.00,1800.00
125228,2100.00,1800.00
127268,2100.00,1800.00
129308,1800.00,1800.00
131368,2100.00,1800.00
133388,1800.00,1800.00
135428,1800.00,1800.00
137468,1800.00,1800.00
139508,1800.00,1800.00
141552,1500.00,1800.00
143588,1800.00,1800.00
145628,1500.00,1800.00
147668,1500.00,1800.00
149712,1500.00,1800.00
151748,1500.00,1800.00
153856,1800.00,1800.00
155828,1500.00,1800.00
